text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	corruptible	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	corrupting	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	innocent	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	innocence	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	guiltless	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	respect	28	0.000297239915074
Burke.1790.Reflections on the Revolution of France.txt	admire	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	admiration	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	admired	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	esteemed	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	respected	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	worthy	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	merit	9	9.55414012739e-05
Burke.1790.Reflections on the Revolution of France.txt	dignified	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	contempt	22	0.000233545647558
Burke.1790.Reflections on the Revolution of France.txt	contemptible	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	despised	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	despicable	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	laudable	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	sordid	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	disdained	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	disgrace	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	infamy	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	infamous	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	notorious	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	scandalous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	reproof	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	reprove	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ignominy	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	disgraceful	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	ignominious	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	disgraced	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	ashamed	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	baseness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	chastity	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	chaste	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	passion	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	passionate	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	passionately	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impassioned	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	emotion	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	emotional	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	emotionally	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sensible	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	sensibleness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sensibility	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	sentiment	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	sentimental	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentally	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentality	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentalizing	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentalist	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentalizer	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentalize	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	mawkish	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	mawkishness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sentimentalism	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	feeling	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	affect	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	heart	26	0.000276008492569
Burke.1790.Reflections on the Revolution of France.txt	pang	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	affective	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	emotive	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	affectional	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	affectively	0	0.0
